DWH_SK,DWH_DELTA_DATE,DWH_BATCH_DATETIME,DWH_BATCH_DATE,ID,LAST_LOGIN,IS_SUPERUSER,USERNAME,EMAIL,IS_STAFF,IS_ACTIVE,DATE_JOINED,FIRST_NAME,LAST_NAME,PHONE_NUMBER,TOTAL_PURCHASED_AMOUNT,IS_DELETED,IS_API_USER,CREATED_DATE,UPDATED_DATE,GENERATED_DATETIME,GENERATED_DATE,DWH_IS_LATEST,DWH_EFFECTIVE_FROM,DWH_EFFECTIVE_TO
4775013840540373053,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,54,,false,paceryan,holly42@example.net,false,true,2025-10-02 13:16:08.102131,Andrea,Walker,"",0.000,false,false,2025-10-02 13:16:08.102131,2025-10-02 13:16:08.102131,2025-06-04 16:08:23,2025-06-04,1,0001-01-01 00:00:00,3000-01-01 00:00:00
18195923176096022070,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,1,2025-09-29 08:36:13.845932,true,petko@petko.bg,petko@petko.bg,true,true,2025-09-09 14:05:30,P,P,"",12650.000,false,true,2025-09-09 14:05:30.913952,2025-09-26 13:45:38.637804,2025-01-01 10:10:10,2025-01-01,0,0001-01-01 00:00:00,2025-10-09 16:52:05
4612280923659837485,2025-10-09 16:52:05,2025-10-09 16:52:05,2025-10-09,1,2025-10-06 09:06:03.048342,true,petko@petko.bg,petko@petko.bg,true,true,2025-09-09 14:05:30,P,P,"",15550.000,false,true,2025-09-09 14:05:30.913952,2025-10-06 14:18:16.363327,2025-01-01 10:10:10,2025-01-01,1,2025-10-09 16:52:05,3000-01-01 00:00:00
1763217886249013741,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,42,,false,debbie40,blackmichael@example.com,false,true,2025-10-02 13:16:04.84014,Kathryn,Martinez,"",0.000,false,false,2025-10-02 13:16:04.84014,2025-10-02 13:16:04.84014,2023-08-09 00:17:16,2023-08-09,1,0001-01-01 00:00:00,3000-01-01 00:00:00
6144408819034585980,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,52,,false,johngolden,mmiller@example.net,false,true,2025-10-02 13:16:07.553894,Desiree,Hernandez,"",0.000,false,false,2025-10-02 13:16:07.553894,2025-10-02 13:16:07.553894,2023-06-13 20:57:58,2023-06-13,1,0001-01-01 00:00:00,3000-01-01 00:00:00
15685967336879628546,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,53,,false,brayjohn,lewisjoseph@example.com,false,true,2025-10-02 13:16:07.82491,Brian,Phelps,"",0.000,false,false,2025-10-02 13:16:07.82491,2025-10-02 13:16:07.82491,2023-05-20 02:59:30,2023-05-20,1,0001-01-01 00:00:00,3000-01-01 00:00:00
9928013102170616050,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,3,,false,elizabethromero,anthony33@example.com,false,true,2025-09-25 13:36:57.865425,Paula,Payne,"",0.000,false,false,2025-09-25 13:36:57.865425,2025-09-25 13:36:57.865425,2025-01-01 10:10:10,2025-01-01,1,0001-01-01 00:00:00,3000-01-01 00:00:00
852907665105627484,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,4,,false,phillipskelly,owatts@example.net,false,true,2025-09-25 13:36:58.13453,Andrew,Newman,"",0.000,false,false,2025-09-25 13:36:58.13453,2025-09-25 13:36:58.13453,2025-01-01 10:10:10,2025-01-01,1,0001-01-01 00:00:00,3000-01-01 00:00:00
6080945860250969412,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,49,,false,andrew60,tanyasolomon@example.com,false,true,2025-10-02 13:16:06.743614,David,Silva,"",0.000,false,false,2025-10-02 13:16:06.743614,2025-10-02 13:16:06.743614,2023-02-20 12:17:31,2023-02-20,1,0001-01-01 00:00:00,3000-01-01 00:00:00
757827959302154173,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,50,,false,smithrobert,hansonbradley@example.org,false,true,2025-10-02 13:16:07.013583,Meagan,Maddox,"",0.000,false,false,2025-10-02 13:16:07.013583,2025-10-02 13:16:07.013583,2025-05-06 17:35:40,2025-05-06,1,0001-01-01 00:00:00,3000-01-01 00:00:00
18293924001096790136,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,37,,false,duncannancy,scott63@example.org,false,true,2025-10-02 13:16:03.48078,Todd,Nguyen,"",0.000,false,false,2025-10-02 13:16:03.48078,2025-10-02 13:16:03.487091,2023-10-09 05:53:03,2023-10-09,1,0001-01-01 00:00:00,3000-01-01 00:00:00
16092559801021326268,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,51,,false,aknapp,smithmichaela@example.org,false,true,2025-10-02 13:16:07.285609,Sarah,Boyd,"",0.000,false,false,2025-10-02 13:16:07.285609,2025-10-02 13:16:07.285609,2023-07-17 04:52:30,2023-07-17,1,0001-01-01 00:00:00,3000-01-01 00:00:00
17490738330261454231,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,5,,false,shannon67,chavezshannon@example.com,false,true,2025-09-25 13:36:58.418798,Lisa,Gill,"",0.000,false,false,2025-09-25 13:36:58.418798,2025-09-25 13:36:58.418798,2025-01-01 10:10:10,2025-01-01,1,0001-01-01 00:00:00,3000-01-01 00:00:00
3286391804344429953,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,43,,false,phamrebecca,angelica93@example.org,false,true,2025-10-02 13:16:05.10778,Brittany,Swanson,"",0.000,false,false,2025-10-02 13:16:05.10778,2025-10-02 13:16:05.10778,2024-03-16 16:15:28,2024-03-16,1,0001-01-01 00:00:00,3000-01-01 00:00:00
17486850168852842433,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,55,,false,gwood,andrewjohnson@example.com,false,true,2025-10-02 13:16:08.383751,Mario,Sutton,"",0.000,false,false,2025-10-02 13:16:08.383751,2025-10-02 13:16:08.383751,2023-11-23 00:53:14,2023-11-23,1,0001-01-01 00:00:00,3000-01-01 00:00:00
11201606530205031615,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,41,,false,onealjoseph,andreaharrison@example.com,false,true,2025-10-02 13:16:04.573152,Natalie,Chandler,"",0.000,false,false,2025-10-02 13:16:04.573152,2025-10-02 13:16:04.573152,2025-08-14 22:45:41,2025-08-14,1,0001-01-01 00:00:00,3000-01-01 00:00:00
17951401930693974477,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,45,,false,isabel99,alexisgardner@example.com,false,true,2025-10-02 13:16:05.654881,Kayla,Smith,"",0.000,false,false,2025-10-02 13:16:05.654881,2025-10-02 13:16:05.654881,2024-08-27 11:54:20,2024-08-27,1,0001-01-01 00:00:00,3000-01-01 00:00:00
18006186559481676271,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,44,,false,lindsey92,ctorres@example.net,false,true,2025-10-02 13:16:05.385755,Samuel,Smith,"",0.000,false,false,2025-10-02 13:16:05.385755,2025-10-02 13:16:05.385755,2025-09-06 09:41:35,2025-09-06,1,0001-01-01 00:00:00,3000-01-01 00:00:00
16595858437929190437,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,46,,false,ericfox,ericjenkins@example.net,false,true,2025-10-02 13:16:05.932151,Joshua,Davis,"",0.000,false,false,2025-10-02 13:16:05.932151,2025-10-02 13:16:05.932151,2024-12-27 16:45:41,2024-12-27,1,0001-01-01 00:00:00,3000-01-01 00:00:00
2001524005081391814,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,48,,false,eschmidt,lorihall@example.com,false,true,2025-10-02 13:16:06.466781,Joseph,Watkins,"",0.000,false,false,2025-10-02 13:16:06.466781,2025-10-02 13:16:06.466781,2023-01-05 15:41:23,2023-01-05,1,0001-01-01 00:00:00,3000-01-01 00:00:00
18143506892392175904,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,56,,false,pamela85,susanwhite@example.org,false,true,2025-10-02 13:16:08.65291,Christian,Landry,"",0.000,false,false,2025-10-02 13:16:08.65291,2025-10-02 13:16:08.65291,2024-04-06 07:00:27,2024-04-06,1,0001-01-01 00:00:00,3000-01-01 00:00:00
